wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,psid
Q105139716,Dr. Ernest Hilaire,Ernest Hilaire,male,,,http://www.govt.lc/cabinet-rejected,2021-11-19,Q109641180,"Minister for Tourism, Investment, Creative Industries, Culture and Information",Q105139716-ED1DC401-B3C5-4390-A0D8-8E9761D529E8
Q107664100,Joachim Andre Henry,Joachim Henry,male,,,http://www.govt.lc/cabinet-rejected,2021-11-19,Q109641126,"Minister for Equity, Social Justice and Empowerment",Q107664100-2E90A8BB-D4EC-4E30-8B11-909B758A0FF8
Q107788041,Dr. Virginia Albert-Poyotte,Virginia Albert-Poyotte,female,,,http://www.govt.lc/cabinet-rejected,2021-11-19,Q109641177,"Minister for the Public Service, Home Affairs, Labour and Gender Affairs",Q107788041-D1746989-F37E-43F9-BF5E-4313A5A90606
Q108000688,Kenson Joel Casimir,Kenson Casimir,male,,,http://www.govt.lc/cabinet-rejected,2021-11-15,Q107676117,Minister for Youth Development and Sports,Q108000688-81F3018C-1635-43DC-B406-8E2990190A7C
Q108444156,Shawn A. Edward,Shawn Edward,male,,,http://www.govt.lc/cabinet-rejected,2021-11-19,Q109641166,"Minister for Education, Sustainable Development, Innovation, Science, Technology and Vocational Training",Q108444156-49EDFF81-AF5D-47AA-9472-F578131B7AAA
Q109641213,Alfred P. Prospere,Alfred Prospere,male,,,http://www.govt.lc/cabinet-rejected,2021-11-19,Q109641214,"Minister for Agriculture, Fisheries, Food Security and Rural Development",Q109641213-50AE6934-C752-44A2-B54F-E87EDD06BEC8
Q109641269,Wayne D. Girard,Wayne D. Girard,male,1978-04-01,10,http://www.govt.lc/cabinet-rejected,2021-11-19,Q109641270,"Minister in the Ministry of Finance, Economic Development and Youth Economy",Q109641269-78642DA0-A41C-4C3D-AB42-28F0A5F7644F
Q4737616,Alva Romanus Baptiste,Alva Baptiste,male,,,http://www.govt.lc/cabinet-rejected,2021-11-19,Q15916815,"Minister for External Affairs, International Trade, Civil Aviation and Diaspora Affairs",Q4737616-A28EDEE1-9367-491D-A7B4-B0B1642081D4
Q5372840,Emma Hippolyte,Emma Hippolyte,female,,,http://www.govt.lc/cabinet-rejected,2021-11-19,Q109641112,"Minister for Commerce, Manufacturing, Business Development, Cooperatives and Consumer Affairs",Q5372840-F54D34B5-0D5D-4AF3-A75C-D822358780D5
Q6915830,Moses Jn. Baptiste,Moses Jean Baptiste,male,,,http://www.govt.lc/cabinet-rejected,2021-11-19,Q109641134,"Minister for Health, Wellness and Elderly Affairs",Q6915830-5E54E49D-7DBE-48B3-A484-7670B29D50D3
Q708289,Stephenson King,Stephenson King,male,1958-11-13,11,http://www.govt.lc/cabinet-rejected,2021-11-19,Q109641895,"Senior Minister and Minister for Infrastructure, Ports, Transport, Physical Development and Urban Renewal",Q708289-F50C6140-922F-48D6-BDD4-735AB58FA1F7
Q7184214,Philip J. Pierre,Philip Pierre,male,,,http://www.govt.lc/cabinet-rejected,2021-11-19,Q109641140,"Minister for Finance, Economic Development and the Youth Economy",Q7184214-552336AB-EDD6-424F-BF1C-A9DE2F450219
Q7184214,Philip J. Pierre,Philip Pierre,male,,,http://www.govt.lc/cabinet-rejected,2021-11-19,Q30101433,Prime Minister,Q7184214-B39B2BD8-D10F-4114-91D4-8A6627001D2B
Q7325780,Richard Frederick,Richard Frederick,male,1965-08-06,11,http://www.govt.lc/cabinet-rejected,2021-11-19,Q109641152,Minister in the Office of the Prime Minister with responsibility for Housing and Local Government,Q7325780-A2461573-89AF-416B-9C44-D9FBB135D44D
