name,position
Philip J. Pierre,Prime Minister
Philip J. Pierre,"Minister for Finance, Economic Development and the Youth Economy"
Dr. Ernest Hilaire,"Minister for Tourism, Investment, Creative Industries, Culture and Information"
Moses Jn. Baptiste,"Minister for Health, Wellness and Elderly Affairs"
Shawn A. Edward,"Minister for Education, Sustainable Development, Innovation, Science, Technology and Vocational Training"
Stephenson King,"Senior Minister and Minister for Infrastructure, Ports, Transport, Physical Development and Urban Renewal"
Alva Romanus Baptiste,"Minister for External Affairs, International Trade, Civil Aviation and Diaspora Affairs"
Emma Hippolyte,"Minister for Commerce, Manufacturing, Business Development, Cooperatives and Consumer Affairs"
Joachim Andre Henry,"Minister for Equity, Social Justice and Empowerment"
Kenson Joel Casimir,Minister for Youth Development and Sports
Dr. Virginia Albert-Poyotte,"Minister for the Public Service, Home Affairs, Labour and Gender Affairs"
Alfred P. Prospere,"Minister for Agriculture, Fisheries, Food Security and Rural Development"
Wayne D. Girard,"Minister in the Ministry of Finance, Economic Development and Youth Economy"
Richard Frederick,Minister in the Office of the Prime Minister with responsibility for Housing and Local Government
